Family,Name,Base Ticker,Dissemination(s),Learn more
Benchmark Reference Rate,Kaiko YFI Benchmark Reference Rate,KK_BRR_YFIUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_BRR_YFIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko USDT Benchmark Reference Rate,KK_BRR_USDTUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_USDTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko OMNI Reference Rate,KK_RFR_OMNIUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_OMNIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ENJ Reference Rate,KK_RFR_ENJUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ENJUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko AGLD Reference Rate,KK_RFR_AGLDUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_AGLDUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BNT Reference Rate,KK_RFR_BNTUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BNTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BRICK Reference Rate,KK_RFR_BRICKUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BRICKUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CVC Reference Rate,KK_RFR_CVCUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CVCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ETH Reference Rate,KK_RFR_ETHUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ETHUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko FXS Reference Rate,KK_RFR_FXSUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_FXSUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko KP3R Reference Rate,KK_RFR_KP3RUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_KP3RUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko LINK Reference Rate,KK_RFR_LINKUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_LINKUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko LSK Reference Rate,KK_RFR_LSKUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_LSKUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko METIS Reference Rate,KK_RFR_METISUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_METISUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko MKR Reference Rate,KK_RFR_MKRUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_MKRUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko NEAR Reference Rate,KK_RFR_NEARUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_NEARUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SHIB Reference Rate,KK_RFR_SHIBUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SHIBUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ORCA Reference Rate,KK_RFR_ORCAUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ORCAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SNX Reference Rate,KK_RFR_SNXUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SNXUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko USDT Reference Rate,KK_RFR_USDTUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_USDTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko FLOKI Reference Rate ,KK_RFR_FLOKIUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_FLOKIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko XLM Reference Rate,KK_RFR_XLMUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_XLMUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SHIB Benchmark Reference Rate,KK_BRR_SHIBUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_SHIBUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ILV Reference Rate,KK_RFR_ILVUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ILVUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko NEO Reference Rate,KK_RFR_NEOUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_NEOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko STX Reference Rate,KK_RFR_STXUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_STXUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko XDC Reference Rate,KK_RFR_XDCUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_XDCUSD"" target=""_blank"">Explore performance</a>"
